,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
314,Iguape,BR,-24.7081,-47.5553,81.48,77,60,9.57,broken clouds
315,Grodzisk Wielkopolski,PL,52.2276,16.3653,36.82,74,26,5.39,scattered clouds
316,Loa Janan,ID,-0.583,117.095,72.73,99,94,0.92,overcast clouds
317,Mackay,AU,-21.15,149.2,72.68,81,100,21.56,light rain
318,Yulara,AU,-25.2406,130.9889,82.06,45,69,24.0,broken clouds
319,Imst,AT,47.2684,10.6698,19.18,92,100,3.31,overcast clouds
320,Huejuquilla El Alto,MX,22.6,-103.8667,68.2,12,33,5.14,scattered clouds
321,Pacific Grove,US,36.6177,-121.9166,51.51,90,0,5.01,clear sky
322,Bambanglipuro,ID,-7.95,110.2833,76.48,89,100,5.59,overcast clouds
323,Kiunga,PG,-6.1219,141.2906,73.06,100,100,4.27,moderate rain
324,Montecristo,CO,8.2971,-74.4733,87.12,59,52,2.35,broken clouds
325,The Valley,AI,18.217,-63.0578,80.74,69,40,11.5,scattered clouds
326,Cayenne,GF,4.9333,-52.3333,82.44,69,75,9.22,moderate rain
327,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.58,65,98,2.28,light rain
328,Babanka,UA,48.7097,30.4483,44.29,93,95,15.73,overcast clouds
329,Tabou,CI,4.423,-7.3528,82.53,72,93,9.6,overcast clouds
330,Zhanaozen,KZ,43.3,52.8,28.31,37,96,11.39,overcast clouds
331,Thongwa,MM,16.7619,96.5278,71.76,65,2,4.03,clear sky
332,Monrovia,LR,6.3005,-10.7969,87.57,76,40,11.61,scattered clouds
333,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,83.08,73,83,4.54,broken clouds
334,Chikwawa,MW,-16.0335,34.8009,74.8,94,100,2.42,light rain
335,Tasiilaq,GL,65.6145,-37.6368,17.76,93,100,11.56,snow
336,Fort Morgan,US,40.2503,-103.8,27.82,93,0,8.05,clear sky
337,Sobolevo,RU,54.4299,31.8996,32.95,99,100,15.79,snow
338,Haines Junction,CA,60.7522,-137.5108,6.33,98,100,0.25,overcast clouds
339,Saint-Louis,SN,16.3333,-15.0,94.64,10,91,12.06,overcast clouds
340,Kachug,RU,53.9606,105.8817,4.44,94,100,3.87,overcast clouds
341,Marawi,PH,7.9986,124.2928,68.25,96,90,1.68,overcast clouds
342,Chimbote,PE,-9.0853,-78.5783,75.63,63,64,11.86,broken clouds
343,Nhulunbuy,AU,-12.2333,136.7667,83.01,89,75,10.36,broken clouds
